Ciudad Vieja,-34.910648,-56.200458
Centro,-34.901489,-56.202816
Barrio Sur,0,0
Cordón,0,0
Palermo,0,0
Parque Rodó,0,0
Punta Carretas,0,0
Pocitos,
Buceo,
Parque Batlle,-34.894995, -56.164727
Malvín,
Malvín Norte,
Punta Gorda,
Carrasco,
Carrasco Norte,
Bañados de Carrasco,
Maroñas,
Flor de Maroñas,
Las Canteras,
Punta de Rieles,
Jardines del Hipódromo,
Ituzaingó,
Unión,
Villa Española,
Mercado Modelo,
Castro,
Cerrito de la Victoria,
Las Acacias,
Aires Puros,
Casavalle,
Piedras Blancas,
Manga,
Paso de las Duranas,
Peñarol,
Villa del Cerro,
Casabó,
La Paloma,
La Teja,
Prado,
Capurro,
Aguada,
Reducto,
Atahualpa,
Jacinto Vera,
La Figurita,
Larrañaga,
La Blanqueada,
Villa Muñoz,
La Comercial,
Tres Cruces,-34.893296,-56.171464
Brazo Oriental,
Sayago,
Conciliación,
Belvedere,
Nuevo París,
Tres Ombúes,XXXXXXXXXXXXXX
Paso de la Arena,
Colón Sureste,
Colón Centro y Noroeste, XXXXXXXXXXX
Lezica,
Villa García,
Manga,
